source_id,source_type,title,organization_or_account,url,platform,date_published,date_reviewed,research_run,topics,relevance,notes,status
SRC-001,community group,HIP Bowling Green KY,HIP Bowling Green KY,https://www.facebook.com/groups/hipbg/,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,offers/services/food/jobs,high,"Large commercial/community feed; open-ended browsing source",active
SRC-002,community group,Bowling Green Connect,Bowling Green Connect,https://www.facebook.com/groups/1494573040797376/,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,recommendations/questions,high,"Practical recommendation conversations",active
SRC-003,community group,Bowling Green Life,Bowling Green Life,https://www.facebook.com/groups/1442413816102962/,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,community/social/mutual aid,moderate,"Mixed community and practical posts",active
SRC-004,media,SoKy Citizen News,SoKy Citizen News,https://www.facebook.com/SoKyCitizenNews,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,local news/community attention,moderate,"Attention context; not a recommended BGCD content model",active
SRC-005,media,WBKO News,WBKO News,https://www.facebook.com/WBKONews,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,local news,moderate,"One high-engagement public-safety item; sensitive topic minimized",active
SRC-006,municipal,City of Bowling Green KY,City of Bowling Green,https://www.facebook.com/citybgky,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,civic/events,moderate,37K followers observed,active
SRC-007,municipal,City of Bowling Green Parks & Recreation,City of Bowling Green Parks & Recreation,https://www.facebook.com/profile.php?id=100067794917312,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,family/events/parks,high,"Clear planning-information share examples",active
SRC-008,tourism,Visit BGKY,Visit BGKY,https://www.facebook.com/VisitBGKY,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,destination/events,moderate,25K followers observed,active
SRC-009,organization,Bowling Green Area Chamber of Commerce,BG Area Chamber,https://www.facebook.com/bgareachamber,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,openings/business,moderate,13K followers observed,active
SRC-010,organization,Downtown BGKY,Downtown BGKY,https://www.facebook.com/downtownbgky,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,downtown/events/grants,moderate,11K followers observed,active
SRC-011,family guide,SOKY Kids Guide,SOKY Kids Guide,https://www.facebook.com/sokykids,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,family activities,low,"Small page; useful category signal",active
SRC-012,sports,Bowling Green Hot Rods,Bowling Green Hot Rods,https://www.facebook.com/bghotrods,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,sports/local pride,high,"Humor and playoff urgency comparison",active
SRC-013,sports,WKU Athletics,WKU Athletics,https://www.facebook.com/WKUAthletics,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,college sports,moderate,26K followers observed,active
SRC-014,attraction,National Corvette Museum,National Corvette Museum,https://www.facebook.com/corvettemuseum,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,heritage/attraction,moderate,306K followers observed,active
SRC-015,attraction,NCM Motorsports Park,NCM Motorsports Park,https://www.facebook.com/motorsportspark,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,motorsports/accessibility,moderate,26K followers observed,active
SRC-016,attraction,Lost River Cave,Lost River Cave,https://www.facebook.com/lostrivercave,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,family/outdoors/education,moderate,38K followers observed,active
SRC-017,arts,The SKYPAC,The SKYPAC,https://www.facebook.com/TheSKYPAC,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,arts/education,low,41K followers observed,active
SRC-018,venue,White Squirrel Brewery,White Squirrel Brewery,https://www.facebook.com/whitesquirrelbrewery,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,nightlife/events,moderate,20K followers observed,active
SRC-019,farm attraction,Jackson's Orchard & Nursery,Jackson's Orchard & Nursery,https://www.facebook.com/jacksons.orchard,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,seasonal food/family,outstanding,"Strong Apple Fest sharing and planning examples",active
SRC-020,food destination,Chaney's Dairy Barn,Chaney's Dairy Barn,https://www.facebook.com/ChaneysDairyBarn,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,food/family,moderate,53K followers observed,active
SRC-021,retail,Morris Jewelry,Morris Jewelry,https://www.facebook.com/morrisjewelry,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,retail/storytelling,high,"Within-account humor versus product comparison",active
SRC-022,fitness,Bowling Green Athletic Club,Bowling Green Athletic Club,https://www.facebook.com/bgathleticclub,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,fitness/personality,high,"Within-account personality comparison",active
SRC-023,education,Community Education BG,Community Education BG,https://www.facebook.com/CommunityEdBG,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,learning/family,low,4.4K followers observed,active
SRC-024,neighborhood,Fieldstone Farms HOA,Fieldstone Farms HOA,https://www.facebook.com/fieldstonefarmsbgky,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,neighborhood/utility,low,"Older and low-volume context",active
SRC-025,nonprofit retail,Habitat Restore Bowling Green,Habitat Restore Bowling Green,https://www.facebook.com/RestoreBG,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,value/mission retail,moderate,19K followers observed,active
SRC-026,festival,Bowling Green International Festival,BG International Festival,https://www.facebook.com/bginternationalfest,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,culture/events,moderate,9.3K followers observed,active
SRC-027,business promotion,Buy Local Bowling Green,Buy Local Bowling Green,https://www.facebook.com/BuyLocalBG,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,local business discovery,low,"Needs a deeper revisit",active
SRC-028,marketplace,Facebook Marketplace,Facebook Marketplace,https://www.facebook.com/marketplace/,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,resale/consumer inventory,low,"Personalized inventory; not demand proof",active
SRC-029,government,Warren County Sheriff's Office,Warren County Sheriff's Office,Facebook Home feed,Facebook,,2026-09-10,2026-09-10-social-brand-foundation,public safety,low,"Context only; avoid sensitive detail",active

